duration,start_date,start_year,start_month,start_hour,weekday,start_city,end_city,subscription_type
3.0,2013-08-29,2013,08,14,3,San Francisco,San Francisco,Subscriber
10.0,2013-08-29,2013,08,14,3,San Jose,San Jose,Subscriber
11.0,2013-08-29,2013,08,10,3,Mountain View,Mountain View,Subscriber
17.0,2013-08-29,2013,08,11,3,San Jose,San Jose,Subscriber
23.0,2013-08-29,2013,08,12,3,San Francisco,San Francisco,Subscriber
43.0,2013-08-29,2013,08,18,3,San Francisco,San Francisco,Subscriber
49.0,2013-08-29,2013,08,13,3,San Jose,San Jose,Subscriber
51.0,2013-08-29,2013,08,14,3,San Jose,San Jose,Subscriber
53.0,2013-08-29,2013,08,17,3,San Francisco,San Francisco,Subscriber
54.0,2013-08-29,2013,08,11,3,San Jose,San Jose,Subscriber
5.0,2013-08-29,2013,08,13,3,San Francisco,San Francisco,Subscriber
6.0,2013-08-29,2013,08,13,3,San Jose,San Jose,Subscriber
9.0,2013-08-29,2013,08,19,3,Mountain View,Mountain View,Subscriber
10.0,2013-08-29,2013,08,13,3,San Francisco,San Francisco,Subscriber
14.0,2013-08-29,2013,08,12,3,San Francisco,San Francisco,Subscriber
18.0,2013-08-29,2013,08,16,3,San Francisco,San Francisco,Subscriber
21.0,2013-08-29,2013,08,11,3,San Jose,San Jose,Subscriber
22.0,2013-08-29,2013,08,12,3,San Francisco,San Francisco,Subscriber
22.0,2013-08-29,2013,08,22,3,San Francisco,San Francisco,Subscriber
24.0,2013-08-29,2013,08,22,3,San Francisco,San Francisco,Subscriber
26.0,2013-08-29,2013,08,19,3,San Francisco,San Francisco,Subscriber
28.0,2013-08-29,2013,08,12,3,Redwood City,Redwood City,Subscriber
31.0,2013-08-29,2013,08,11,3,San Francisco,San Francisco,Subscriber
40.0,2013-08-29,2013,08,22,3,San Francisco,San Francisco,Subscriber
41.0,2013-08-29,2013,08,10,3,San Francisco,San Francisco,Customer
43.0,2013-08-29,2013,08,13,3,San Jose,San Jose,Subscriber
45.0,2013-08-29,2013,08,13,3,San Francisco,San Francisco,Subscriber
46.0,2013-08-29,2013,08,13,3,San Jose,San Jose,Subscriber
48.0,2013-08-29,2013,08,21,3,San Francisco,San Francisco,Subscriber
49.0,2013-08-29,2013,08,18,3,Redwood City,Redwood City,Subscriber
53.0,2013-08-29,2013,08,11,3,San Francisco,San Francisco,Customer
53.0,2013-08-29,2013,08,12,3,San Francisco,San Francisco,Subscriber
54.0,2013-08-29,2013,08,09,3,San Francisco,San Francisco,Subscriber
55.0,2013-08-29,2013,08,15,3,San Francisco,San Francisco,Subscriber
58.0,2013-08-29,2013,08,09,3,San Francisco,San Francisco,Subscriber
3.0,2013-08-29,2013,08,22,3,San Francisco,San Francisco,Subscriber
4.0,2013-08-29,2013,08,16,3,San Francisco,San Francisco,Subscriber
6.0,2013-08-29,2013,08,15,3,San Francisco,San Francisco,Subscriber
6.0,2013-08-29,2013,08,17,3,San Francisco,San Francisco,Subscriber
8.0,2013-08-29,2013,08,16,3,San Francisco,San Francisco,Subscriber
8.0,2013-08-29,2013,08,17,3,San Francisco,San Francisco,Subscriber
8.0,2013-08-29,2013,08,19,3,San Francisco,San Francisco,Customer
9.0,2013-08-29,2013,08,12,3,San Francisco,San Francisco,Subscriber
11.0,2013-08-29,2013,08,14,3,San Jose,San Jose,Subscriber
13.0,2013-08-29,2013,08,16,3,San Francisco,San Francisco,Subscriber
17.0,2013-08-29,2013,08,17,3,Palo Alto,Palo Alto,Subscriber
24.0,2013-08-29,2013,08,16,3,San Francisco,San Francisco,Subscriber
27.0,2013-08-29,2013,08,17,3,San Francisco,San Francisco,Subscriber
29.0,2013-08-29,2013,08,17,3,San Francisco,San Francisco,Customer
30.0,2013-08-29,2013,08,13,3,San Jose,San Jose,Subscriber
31.0,2013-08-29,2013,08,15,3,San Francisco,San Francisco,Subscriber
34.0,2013-08-29,2013,08,17,3,San Francisco,San Francisco,Customer
34.0,2013-08-29,2013,08,19,3,San Francisco,San Francisco,Subscriber
35.0,2013-08-29,2013,08,13,3,San Francisco,San Francisco,Subscriber
36.0,2013-08-29,2013,08,21,3,San Francisco,San Francisco,Subscriber
38.0,2013-08-29,2013,08,09,3,Mountain View,Mountain View,Subscriber
39.0,2013-08-29,2013,08,12,3,San Francisco,San Francisco,Subscriber
42.0,2013-08-29,2013,08,12,3,San Francisco,San Francisco,Subscriber
43.0,2013-08-29,2013,08,12,3,San Francisco,San Francisco,Subscriber
45.0,2013-08-29,2013,08,13,3,San Francisco,San Francisco,Subscriber
48.0,2013-08-29,2013,08,17,3,San Francisco,San Francisco,Subscriber
56.0,2013-08-29,2013,08,20,3,San Francisco,San Francisco,Customer
56.0,2013-08-29,2013,08,20,3,San Francisco,San Francisco,Subscriber
57.0,2013-08-29,2013,08,13,3,San Francisco,San Francisco,Subscriber
59.0,2013-08-29,2013,08,14,3,San Francisco,San Francisco,Subscriber
59.0,2013-08-29,2013,08,15,3,San Francisco,San Francisco,Subscriber
